id_venta,fecha,id_cliente,id_producto,id_agente,zona,cantidad,precio_unitario,descuento_pct,monto_total,tipo_pago,estado
VT000001,2023-11-13,CL0167,PR022,AG005,Centro,2,259527.55,0.0,519055.09,Transferencia,Completada
VT000002,2024-12-10,CL0408,PR018,AG009,NOA,3,2740.97,0.0,8222.91,Cheque,Completada
VT000003,2024-07-26,CL0497,PR030,AG006,Centro,2,4588.63,0.0,9177.25,Cheque,Completada
VT000004,2024-04-22,CL0424,PR008,AG001,AMBA,1,149797.41,0.0,149797.41,Tarjeta de crédito,Completada
VT000005,2023-05-24,CL0175,PR020,AG002,AMBA,2,6225.27,0.0,12450.55,Transferencia,Completada
VT000006,2023-05-24,CL0356,PR025,AG002,AMBA,2,26993.79,0.0,53987.58,Transferencia,Completada
VT000007,2023-03-01,CL0268,PR027,AG002,AMBA,3,8535.81,0.0,25607.44,Transferencia,Completada
VT000008,2024-10-29,CL0394,PR016,AG006,Centro,3,8413.13,0.0,25239.38,Transferencia,Completada
VT000009,2024-04-23,CL0080,PR024,AG005,Centro,2,42995.27,0.0,85990.53,Efectivo,Anulada
VT000010,2024-07-09,CL0321,PR012,AG002,AMBA,1,175719.27,0.0,175719.27,Transferencia,Anulada
VT000011,2023-01-23,CL0386,PR017,AG001,AMBA,1,3188.76,0.0,3188.76,Cheque,Completada
VT000012,2024-12-18,CL0381,PR029,AG002,AMBA,2,3415.38,0.0,6830.76,Tarjeta de crédito,Completada
VT000013,2024-10-08,CL0480,PR030,AG015,AMBA,3,4713.17,0.0,14139.51,Tarjeta de crédito,Completada
VT000014,2023-07-10,CL0038,PR026,AG005,Centro,5,20439.41,0.05,102197.05,Transferencia,Completada
VT000015,2023-06-14,CL0175,PR016,AG012,Patagonia,3,8420.21,0.0,25260.64,Efectivo,Completada
VT000016,2023-06-15,CL0239,PR027,AG011,Patagonia,2,8211.56,0.0,16423.11,Tarjeta de crédito,Completada
VT000017,2023-09-27,CL0160,PR001,AG005,Centro,1,450974.89,0.0,450974.89,Tarjeta de crédito,Completada
VT000018,2024-02-23,CL0160,PR004,AG008,NOA,1,95861.85,0.0,95861.85,Transferencia,Completada
VT000019,2023-12-14,CL0089,PR023,AG002,AMBA,3,115510.49,0.0,346531.48,Transferencia,Completada
